track_name,artist_name,album,played_at,duration_ms,track_id,duration_min
Second Sermon - Remix,Black Sherif,The Villain I Never Was,2025-05-01 15:28:56.433000+00:00,194863,4DdaGKeVkjQbPHzpoHGafk,3.247716666666667
Vibration,Fireboy DML,"Laughter, Tears & Goosebumps",2025-05-01 14:26:01.051000+00:00,198461,7u0z6FcJDqkZwdpqAqUzmO,3.3076833333333333
Cough (Odo),Kizz Daniel,Maverick,2025-05-01 14:22:42.310000+00:00,176195,3nT2nrfb3FMLg03W4mPaBl,2.9365833333333335
Loading,Olamide,Carpe Diem,2025-05-01 14:18:30.001000+00:00,194000,558ULLj8yY2vT8XGtgY0q9,3.2333333333333334
"All Eyes on Me (feat. Burna Boy, Da L.E.S. & JR)",AKA,Levels (Explicit),2025-05-01 14:15:15.870000+00:00,258105,6oAWlzrEbXFis7Z0kyeX0h,4.30175
In Fact (feat. Gabzy),melvitto,THENIGHTISYOUNG.,2025-05-01 14:10:57.961000+00:00,225179,2rFPUq8a7gvO0IuaN9LpV7,3.7529833333333333
Always (feat. Black Sherif),Darkoo,Always (feat. Black Sherif),2025-05-01 14:07:12.102000+00:00,154957,2koM4vqlpUzeRbNkjsDBwF,2.5826166666666666
Kwaku The Traveller,Black Sherif,The Villain I Never Was,2025-05-01 14:04:37.046000+00:00,185364,2LqvzGaZniHiZ9CXhzkclD,3.0894
Like I Do,Fireboy DML,"Laughter, Tears & Goosebumps",2025-05-01 14:00:15.418000+00:00,232800,3B5slaBuBK0BsuNw570pmx,3.88
Lie,Kizz Daniel,Barnabas,2025-05-01 13:56:22.714000+00:00,156600,03DxO8kGNrEGr1VjPSdQs2,2.61
Again,Wande Coal,Realms,2025-05-01 13:53:45.490000+00:00,156083,6qk3jI8bKCgURI3h0d8zBZ,2.601383333333333
Girlfriend,Ruger,The Second Wave (Deluxe),2025-05-01 13:51:09.248000+00:00,196800,57jUCJelGAISFxuea34lrr,3.28
Trouble,melvitto,Trouble,2025-05-01 13:47:52.246000+00:00,223517,5yplb3035SZqG3E6TArvGK,3.7252833333333335
Juicy,Darkoo,Juicy,2025-05-01 13:42:56.452000+00:00,197893,3Gs3xtwTh4E0TsnSbKVGaP,3.298216666666667
Mama Stay,WSTRN,WSTRN Season 3,2025-05-01 13:39:38.719000+00:00,190210,1QyjxL3C1jhP21s4X1I9jw,3.170166666666667
Peru - Remix,Fireboy DML,Peru (Remix),2025-05-01 13:36:27.844000+00:00,186952,7voSun33hCNkIrjxaj3g47,3.115866666666667
Finesse,Pheelz,Finesse,2025-05-01 13:33:20.743000+00:00,155293,4Gasn91fsCefnN8zM5GjA8,2.588216666666667
Toast,Original Koffee,Rapture,2025-05-01 13:30:45.196000+00:00,191502,45tHjcM6gERQ7kCEDTG4al,3.1917
Asiwaju,Ruger,RU The World,2025-05-01 13:26:15.937000+00:00,216000,6z5y2kdxF4XrEVRFVqdGVL,3.6
Gangsta,Darkoo,Gangsta (Remix),2025-05-01 13:19:11.092000+00:00,216000,0yoXHeL4gJg0DNheK4xqJB,3.6
Aye,Nappy,Aye,2025-05-01 13:15:34.504000+00:00,207020,4ns6AzLkLnMULxf5kQE6eC,3.4503333333333335
Peru,Fireboy DML,Playboy,2025-05-01 13:12:07.149000+00:00,187111,4vb777iaycnlFxVkJMmtfd,3.118516666666667
Judgement,NIGY BOY,Judgement,2025-03-08 00:17:16.263000+00:00,137427,1o6TzHkNsPqogIAwMGtoV7,2.29045
Guilty,Burna Boy,L.I.F.E - Leaving an Impact for Eternity (Deluxe Edition),2025-03-06 01:46:14.745000+00:00,216000,6VQuzHRaqsYbbOmhGdTwo6,3.6
Whine That Ting,Nappy,Whine That Ting,2025-03-06 01:23:21.003000+00:00,173400,7mTHvABwUwFlnjSfAwCmih,2.89
Oluwa Burna,Burna Boy,On A Spaceship,2025-03-06 01:20:26.958000+00:00,179533,05ZcomLZ9qZQkeBOcOs3fo,2.9922166666666667
